direction,key,chest,pelvis,waist,pitch,forward,drop,right_elbow_x,right_elbow_y,right_elbow_z,left_elbow_x,left_elbow_y,left_elbow_z,right_wrist,left_wrist
3,2,-21.359,-5.6626,-4.3769,6.364,-3,2,0.75,1.05,0.6169,0.9,-0.95,-0.4303,0,0
3,3,-11.347,3.1458,-0.5471,2.5456,1,3,0.677,0.91,0.036,0.8191,-0.81,-0.6447,0,0
3,4,10.0121,10.6959,3.8297,-4.879,5,4,0.6124,0.71,-0.8125,0.7117,-0.61,-0.9695,0,0
3,5,23.3614,11.3251,6.0182,-9.5459,5,3,0.642,0.65,-1.09,0.6895,-0.55,-1.09,0,0
3,6,26.0314,10.0668,6.0182,-10.6066,3,2,0.6634,0.65,-1.1,0.6939,-0.55,-1.1,0,0
3,7,22.694,8.1793,4.3769,-9.5459,2,2,0.642,0.65,-1.09,0.6895,-0.55,-1.09,0,0
3,8,8.0097,2.5167,1.6413,-3.182,1,1,0.514,0.65,-1.03,0.6632,-0.55,-1.03,0,0
3,9,-0,-0,-0,0,0,0,0.45,0.65,-1,0.65,-0.55,-1,0,0
4,0,-0,-0,-0,0,0,0,0.45,0.65,-1,0.65,-0.55,-1,0,0
4,1,-30.5,-13.8,-6,0,-2,1,0.705,0.99,-0.5325,0.8625,-0.89,-0.7025,0,0
4,2,-39.04,-10.35,-8,0,-3,2,0.75,1.05,-0.45,0.9,-0.95,-0.65,0,0
4,3,-20.74,5.75,-1,0,1,3,0.75,0.4,-1.3,0.2,-1.55,-0.5,0,0
4,4,18.3,19.55,7,-0,5,4,0.75,0.4,-1.3,0.2,-1.55,-0.5,0,0
4,5,42.7,20.7,11,-0,5,3,0.75,0.4,-1.3,0.2,-1.55,-0.5,0,0
4,6,47.58,18.4,11,-0,3,2,0.7,0.65,-1.1,0.65,-0.55,-1.1,0,0
4,7,41.48,14.95,8,-0,2,2,0.675,0.65,-1.09,0.65,-0.55,-1.09,0,0
4,8,14.64,4.6,3,-0,1,1,0.525,0.65,-1.03,0.65,-0.55,-1.03,0,0
4,9,-0,-0,-0,0,0,0,0.45,0.65,-1,0.65,-0.55,-1,0,0
5,0,-0,-0,-0,-0,0,0,0.45,0.65,-1,0.65,-0.55,-1,0,0
5,1,-21.5668,-9.7581,-4.2426,-5.4094,-2,1,0.705,0.99,-0.5325,0.8625,-0.89,-0.7025,0,0
5,2,-27.6054,-7.3186,-5.6569,-6.364,-3,2,0.75,1.05,-0.45,0.9,-0.95,-0.65,0,0
5,3,-14.6654,4.0658,-0.7071,-2.5456,1,3,0.677,0.91,-0.6575,0.8191,-0.81,-0.7875,0,0
5,4,12.9401,13.8239,4.9497,4.879,5,4,0.6124,0.71,-0.9725,0.7117,-0.61,-1.0025,0,0
5,5,30.1934,14.6371,7.7782,9.5459,5,3,0.642,0.65,-1.09,0.6895,-0.55,-1.09,0,0
5,6,33.6442,13.0108,7.7782,10.6066,3,2,0.6634,0.65,-1.1,0.6939,-0.55,-1.1,0,0
5,7,29.3308,10.5713,5.6569,9.5459,2,2,0.642,0.65,-1.09,0.6895,-0.55,-1.09,0,0
5,8,10.3521,3.2527,2.1213,3.182,1,1,0.514,0.65,-1.03,0.6632,-0.55,-1.03,0,0
5,9,-0,-0,-0,-0,0,0,0.45,0.65,-1,0.65,-0.55,-1,0,0
6,0,-0,-0,-0,-0,0,0,0.45,0.65,-1,0.65,-0.55,-1,0,0
6,1,0,0,-0,-7.65,-2,1,0.705,0.99,-0.5325,0.8625,-0.89,-0.7025,0,0
6,2,0,0,-0,-9,-3,2,0.75,1.05,-0.45,0.9,-0.95,-0.65,0,0
6,3,0,0,-0,-3.6,1,3,0.6638,0.91,-0.6575,0.835,-0.81,-0.7875,0,0
6,4,0,0,0,6.9,5,4,0.5638,0.71,-0.9725,0.77,-0.61,-1.0025,0,0
6,5,0,0,0,13.5,5,3,0.5625,0.65,-1.09,0.785,-0.55,-1.09,0,0
6,6,0,0,0,15,3,2,0.575,0.65,-1.1,0.8,-0.55,-1.1,0,0
6,7,0,0,0,13.5,2,2,0.5625,0.65,-1.09,0.785,-0.55,-1.09,0,0
6,8,0,0,0,4.5,1,1,0.4875,0.65,-1.03,0.695,-0.55,-1.03,0,0
6,9,-0,-0,-0,-0,0,0,0.45,0.65,-1,0.65,-0.55,-1,0,0
7,0,0,0,0,-0,0,0,0.45,0.65,-1,0.65,-0.55,-1,0,0
7,1,21.5668,9.7581,4.2426,-5.4094,-2,1,0.705,0.99,-0.5325,0.8625,-0.89,-0.7025,0,0
7,2,27.6054,7.3186,5.6569,-6.364,-3,2,0.75,1.05,-0.45,0.9,-0.95,-0.65,0,0
7,3,14.6654,-4.0658,0.7071,-2.5456,1,3,0.6505,0.91,-0.6575,0.8509,-0.81,-0.7875,0,0
7,4,-12.9401,-13.8239,-4.9497,4.879,5,4,0.5151,0.71,-0.9725,0.8283,-0.61,-1.0025,0,0
7,5,-30.1934,-14.6371,-7.7782,9.5459,5,3,0.483,0.65,-1.09,0.8805,-0.55,-1.09,0,0
7,6,-33.6442,-13.0108,-7.7782,10.6066,3,2,0.4866,0.65,-1.1,0.9061,-0.55,-1.1,0,0
7,7,-29.3308,-10.5713,-5.6569,9.5459,2,2,0.483,0.65,-1.09,0.8805,-0.55,-1.09,0,0
7,8,-10.3521,-3.2527,-2.1213,3.182,1,1,0.461,0.65,-1.03,0.7268,-0.55,-1.03,0,0
7,9,0,0,0,-0,0,0,0.45,0.65,-1,0.65,-0.55,-1,0,0
